Wavelength,Work,label,0.727581795
1007.85,46.1159,1,0.953726197
994.78,42.26425,1,0.526129013
681.7,13.04843,-1,0.357975731
1024.8,40.25735,-1,0.752791498
1043.2,45.10466,-1,0.950109961
569.57,20.35625,1,0.676995361
783.41,50.12599,-1,0.945279406
861.42,46.01051,1,0.0020685
850.33,46.10801,1,0.441541635
515.44,7.86811,-1,0.697963194
965.26,36.79253,-1,0.997327261
837.32,50.72576,-1,0.44620246
869.62,45.56705,1,0.948747245
582.89,19.77373,1,0.289904817
914.03,46.02235,1,0.103321911
721.94,43.6363,1,0.974316259
891.82,49.71558,-1,0.408096732
820.94,46.40184,1,0.980170071
558.16,12.96587,-1,0.722059503
527.3,10.39328,-1,0.16984325
875.41,50.85997,-1,0.166576171
729.62,43.55183,-1,0.390713314
579.08,14.01531,-1,0.236284175
565.76,13.18228,-1,0.492435135
540.58,17.12076,1,0.718025195
890.85,47.72573,1,0.553724434
1041.26,50.74922,1,0.428147702
786.77,50.94935,-1,0.646539164
843.1,49.71144,-1,0.461830781
569.09,14.36814,-1,0.214771395
562.91,14.39043,-1,0.097394934
502.65,7.55482,-1,0.254468694
836.84,46.54409,1,0.886243568
594.32,13.8214,-1,0.75475217
524.93,9.51566,-1,0.962740269
932.39,43.96951,1,0.406706617
1026.25,51.624,1,0.625780501
1015.11,39.24205,-1,0.291401247
912.58,50.80698,-1,0.369324124
997.2,37.86045,-1,0.016871138
739.21,46.86088,1,0.9328795
789.18,46.66864,1,0.33374148
702.77,27.88685,-1,0.159026465
924.66,49.15127,-1,0.811931148
576.23,20.15555,1,0.173592922
967.68,40.30437,1,0.345150296
1037.39,45.85058,1,0.649761378
1005.91,39.16249,-1,0.995670899
606.23,20.49086,1,0.631513728
756.98,45.85865,1,0.655856875
643.45,13.49331,-1,0.134947146
697.98,29.08823,1,0.415530153
1021.89,45.77292,1,0.145379799
669.26,12.17521,-1,0.242914872
950.27,40.97787,1,0.829275973
523.03,9.66236,-1,0.882460862
607.66,13.84682,-1,0.80804564
501.7,7.0493,-1,0.130827015
652.53,18.68905,1,0.729940681
542.01,16.8979,1,0.770055668
943.5,42.29423,1,0.769429183
1019.95,46.7233,1,0.831644318
817.57,52.02773,-1,0.963915388
631.99,14.31875,-1,0.638997108
572.9,13.95478,-1,0.558361382
556.26,13.20925,-1,0.925420598
699.42,25.1385,-1,0.822535293
514.97,7.63595,-1,0.465746218
790.14,50.34671,-1,0.61775545
800.72,45.96822,1,0.544231372
1006.4,45.82081,1,0.492281206
958.49,37.57682,-1,0.269616337
988.49,36.35114,-1,0.493740731
610.52,14.0301,-1,0.080538373
619.11,13.99095,-1,0.531580971
988.49,41.39665,1,0.647292444
1009.3,37.60584,-1,0.975162546
701.81,32.34797,1,0.549510455
926.59,46.82314,-1,0.174157049
945.92,42.70184,1,0.170106765
744.01,46.93029,-1,0.605703805
642.02,13.89688,-1,0.474480927
735.85,46.71757,-1,0.022658574
977.84,40.47618,1,0.873205108
595.75,14.23963,-1,0.945358413
845.99,51.18418,-1,0.854405097
558.63,13.45216,-1,0.154193812
826.72,50.4991,-1,0.411431522
677.39,18.72764,1,0.719860048
739.69,46.17097,-1,0.969184915
657.78,18.4111,1,0.051326174
619.58,13.99228,-1,0.387890189
838.28,45.85395,1,0.767724203
768.03,48.35206,-1,0.820991158
993.33,42.18882,1,0.33353713
897.61,52.17945,-1,0.792643769
924.66,45.84645,1,0.511036563
670.69,12.44546,-1,0.644809126
982.2,41.36541,1,0.588738639
542.01,11.03787,-1,0.459531711
539.63,16.15587,1,0.853755456
775.72,45.7108,1,0.371579251
863.83,53.24933,-1,0.227069327
808.42,45.93877,1,0.225523102
758.42,48.10509,-1,0.130272836
906.78,49.22128,-1,0.945009604
681.22,12.63435,-1,0.030354721
714.27,40.33884,1,0.026407969
783.41,46.44037,1,0.1141121
847.92,50.8521,-1,0.046850514
589.08,20.54942,1,0.764394086
617.67,20.39883,1,0.467385552
654.92,12.60604,-1,0.091791071
774.75,49.51253,-1,0.223752243
661.13,12.37947,-1,0.858763649
618.15,14.22112,-1,0.255587485
856.12,51.45111,-1,0.607726896
571.47,13.78982,-1,0.363191768
811.79,45.72337,1,0.717294282
684.09,19.87329,1,0.863027872
804.57,51.49678,-1,0.174957347
961.39,39.88334,1,0.709483681
553.41,12.62791,-1,0.364984972
546.28,16.79439,1,0.701566971
814.2,45.64672,1,0.598704983
626.26,14.54205,-1,0.815597694
995.75,41.34108,1,0.200157859
834.91,49.94267,-1,0.549362662
519.71,9.05024,-1,0.075732527
751.21,45.19741,1,0.334510046
802.65,46.30547,1,0.106084862
705.17,30.36375,-1,0.036441642
672.61,12.07534,-1,0.204493048
779.56,49.76615,-1,0.636914934
913.54,46.17797,1,0.161479235
804.57,46.02022,1,0.112939745
893.26,50.01977,-1,0.609938044
724.34,42.15494,-1,0.518051019
717.63,40.11704,-1,0.211526735
778.6,45.69265,1,0.709965473
607.18,14.48022,-1,0.538889562
988.97,39.5968,1,0.258394565
793.51,46.16485,1,0.7823329
744.97,46.73216,-1,0.811870048
733.93,44.8677,-1,0.509495965
909.68,48.10789,1,0.381994784
805.54,51.13382,-1,0.868871264
918.38,49.27151,-1,0.322542241
704.21,29.68308,-1,0.073345723
820.94,52.08731,-1,0.749580003
506.44,6.61455,-1,0.678553795
654.92,18.49421,1,0.69310779
823.35,47.44451,1,0.538812453
930.94,48.60625,-1,0.949280536
662.56,12.24651,-1,0.040884564
981.23,39.69321,1,0.445474795
1003.49,42.62475,1,0.650365986
755.54,45.95228,1,0.485382058
871.07,47.43349,1,0.158759916
838.76,46.30802,1,0.980266413
869.14,50.259,-1,0.146603938
970.1,37.37922,-1,0.542303239
561.96,14.1115,-1,0.4228914
